cont_id,recency,frequency,monetary value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Total Score,Segment
100505044,1267.0,1,2235.5,3,1,1,311,5,Loyal
100505045,115.0,3,3046.0,4,3,1,431,8,Needs Attention
100505047,872.0,2,7212.0,3,2,2,322,7,Promising
100505050,1266.0,2,8636.0,3,2,3,323,8,Needs Attention
100505051,1261.0,1,1375.64,3,1,1,311,5,Loyal
100505052,1261.0,1,0.0,3,1,1,311,5,Loyal
100505058,1031.0,3,17271.0,3,3,4,334,10,Require Activation
100505059,1214.0,10,49671.45,3,4,4,344,11,Require Activation
100505061,1241.0,3,0.0,3,3,1,331,7,Promising
100505063,1224.0,1,3234.6,3,1,2,312,6,Potential
100505070,1030.0,5,8102.5,3,3,3,333,9,Require Activation
100505074,146.0,3,4754.1,4,3,2,432,9,Require Activation
100505076,1190.0,1,5004.0,3,1,2,312,6,Potential
100505078,1197.0,1,5100.0,3,1,2,312,6,Potential
100505080,457.0,7,4112.75,4,4,2,442,10,Require Activation
100505087,1170.0,2,15810.0,3,2,4,324,9,Require Activation
100505089,1166.0,2,560.0,3,2,1,321,6,Potential
100505094,1154.0,3,2524.5,3,3,1,331,7,Promising
100505096,1028.0,1,11632.25,3,1,3,313,7,Promising
100505104,1153.0,1,3096.0,3,1,2,312,6,Potential
100505105,618.0,9,58004.85,3,4,4,344,11,Require Activation
100505107,1151.0,1,1278.0,3,1,1,311,5,Loyal
100505108,1138.0,1,1695.75,3,1,1,311,5,Loyal
100505109,1148.0,1,2047.5,3,1,1,311,5,Loyal
100505113,291.0,3,6836.0,4,3,2,432,9,Require Activation
